text,category
ترجم هذا النص إلى الإنجليزية,ترجمة
حوّل الرسالة إلى العربية,ترجمة
ساعدني في فهم هذه الجملة بلغة أخرى,ترجمة
ترجمة فورية للنص,ترجمة
اكتشف الأشخاص داخل الصورة,صور
صنّف هذه الصورة,صور
تعرف على الأشياء الموجودة في الصورة,صور
نظم ألبوم الصور تلقائيًا,صور
اقترح فيديوهات تناسبني,توصيات
ما المنتجات التي قد تعجبني,توصيات
رشح لي موسيقى مشابهة,توصيات
اقترح محتوى بحسب اهتمامي,توصيات
حوّل كلامي إلى نص,صوت
افهم هذا الأمر الصوتي,صوت
ساعدني عبر الأوامر الصوتية,صوت
اكتب ما أقوله في الميكروفون,صوت
